Epoch,U-Net_resnet50,U-Net_resnet101,DeepLabV3_resnet50,DeepLabV3_resnet101
0,1.4674017826716106,1.1569098234176636,1.2655247648557026,1.2239153981208801
1,1.2830342849095662,1.0041793882846832,1.0927425026893616,1.0907435615857441
2,1.1988178094228108,0.9321826696395874,1.024315357208252,1.0040809412797291
3,1.1440608501434326,0.8794397612412771,0.9733308653036753,0.9483446081479391
4,1.0783955256144206,0.8339775303999583,0.9347256422042847,0.8986811737219492
5,1.032948652903239,0.7972765266895294,0.8944708009560903,0.8499262730280558
6,0.9938878019650778,0.7665825486183167,0.8599209189414978,0.8185388247172037
7,0.9570326507091522,0.7381037672360738,0.8305499255657196,0.7872386674086252
8,0.9222568273544312,0.7099033892154694,0.8050340910752615,0.7588934699694315
9,0.889597604672114,0.6935703953107198,0.7763249973456064,0.7363541424274445
10,0.8548849622408549,0.6626151005427042,0.751134584347407,0.7144468625386556
11,0.8265959024429321,0.63592595855395,0.7265086472034454,0.6896266341209412
12,0.7992252210776011,0.6108680367469788,0.7043457925319672,0.6672134697437286
13,0.7725615898768107,0.586651494105657,0.6772124965985616,0.646358331044515
14,0.7479225099086761,0.5660965045293173,0.6515341699123383,0.6277264753977457
15,0.7251463333765665,0.5433376630147299,0.6223916808764139,0.6094281673431396
16,0.7040252884229025,0.5297287702560425,0.5974003970623016,0.586895634730657
17,0.6820371250311533,0.5123970756928126,0.5757783353328705,0.5710921386877695
18,0.6609449485937754,0.497134397427241,0.5526886880397797,0.5509537855784098
19,0.6461601058642069,0.4821377197901408,0.5404827892780304,0.5388164420922598
20,0.6164236664772034,0.46530534823735553,0.5225241780281067,0.5304890275001526
21,0.6048793196678162,0.4537369906902313,0.5067746539910635,0.5161426762739817
22,0.5973692735036215,0.4422418425480525,0.4950425773859024,0.5005046278238297
23,0.5851600170135498,0.45208358267943066,0.4768864264090856,0.48780882855256397
24,0.5632153352101644,0.43484513958295185,0.4588584552208583,0.4761090675989787
25,0.5563319623470306,0.4283491025368373,0.4459637602170308,0.461402749021848
26,0.5432044963041941,0.415548379222552,0.43815480669339496,0.45232365528742474
27,0.5265171726544698,0.4005776395400365,0.42364944020907086,0.4392874439557393
28,0.5140266666809717,0.39139875769615173,0.41567840178807575,0.42455943922201794
29,0.5019710510969162,0.3813651353120804,0.40526072680950165,0.41890516380469006
30,0.49009503424167633,0.3807766040166219,0.39024852712949115,0.40614138543605804
