Model,Macro_AUPR,Macro_Dice,Macro_IoU,Train_Time,Inf_Time,BG_AUPR,BG_Dice,BG_IoU,MA_AUPR,MA_Dice,MA_IoU,HE_AUPR,HE_Dice,HE_IoU,EX_AUPR,EX_Dice,EX_IoU,SE_AUPR,SE_Dice,SE_IoU,OD_AUPR,OD_Dice,OD_IoU
U-Net_resnet50,0.7675795067819705,0.7366331416200858,0.6187087618750029,99.91074497302374,8.193295001983643,0.9965170302690585,0.9849707906653026,0.9703866466176903,0.4953465994308568,0.45569404131808094,0.29508015478164734,0.6105095466101945,0.6152372778210154,0.44429075679688484,0.8253317531246236,0.7626919932225092,0.6164123961412841,0.7087972995667332,0.6532967318900916,0.485108150667066,0.9689748116903568,0.9479080148035144,0.9009744662454452
U-Net_resnet101,0.7507904254571046,0.7347239370525762,0.615929837343316,100.15687052408855,8.203344821929932,0.9968244979249103,0.9843041512464649,0.9690934076912945,0.42562484315624205,0.47379225765170097,0.31043759280286487,0.6341982987701273,0.6107420894231889,0.4396174999425503,0.8373581955677181,0.7515195753405549,0.6019474238417083,0.6314181152283554,0.6362189298395984,0.4665110432752738,0.979318602095275,0.9517666188139499,0.9079720565062043
DeepLabV3_resnet50,0.7755382432638033,0.7373550862723909,0.6215411367946753,100.12280712922414,8.195204257965088,0.9970585826453185,0.9838847705090219,0.9682807047404437,0.47352079728501945,0.4180728702426159,0.2642807385866975,0.6057190840027511,0.6144623311565193,0.44348294887530254,0.835750005771449,0.742443352620841,0.5903856133782505,0.7620975739961524,0.7131113151193657,0.5541359742280354,0.9790834158821288,0.9521558779859811,0.908680840959322
DeepLabV3_resnet101,0.7495682939951545,0.7375828545786763,0.62012870735574,101.5355703552564,8.273416757583618,0.996511309436552,0.9850321049435538,0.9705056778064615,0.4472118036806664,0.4644490926054113,0.3024641451929814,0.6066991318923541,0.60202927052155,0.4306451185470478,0.8418659332017843,0.7636331243813923,0.617642820622571,0.6241870527969093,0.6577745708697206,0.49006266502932977,0.9809345329626612,0.95257896415043,0.909451816936049
